time_step,num_vehicles,density,flow,avg_speed
0,1,0.007234210756287545,3600.0,0.0
1,1,0.007234210756287545,1800.0,1.3843032849719747
2,1,0.007234210756287545,1200.0,3.065586771327071
3,1,0.007234210756287545,900.0,4.7856260247528555
4,1,0.007234210756287545,720.0,6.669720943877474
5,1,0.007234210756287545,600.0,8.092229654360562
6,1,0.007234210756287545,514.2857142857143,10.187823586189188
7,1,0.007234210756287545,450.0,12.69096914816182
8,2,0.01446842151257509,800.0,17.67975681996351
9,2,0.01446842151257509,720.0,18.092250759631455
