step,num_vehicles,avg_gap_nb,flow_nb,flow_sb,spd_nb,spd_sb,spd_all
1,1,0,1,0,22.351,0,22.352
2,1,0,1,0,22.08139179792977,0,21.81278359585954
3,1,0,1,0,22.283030279043828,0,22.21606055808766
4,1,0,1,0,22.344817425711312,0,22.339634851422627
5,1,0,1,0,22.302198538037715,0,22.25439707607543
6,1,0,1,0,22.31074010284408,0,22.27148020568816
7,1,0,1,0,22.003443873434094,0,21.65688774686819
8,1,0,1,0,22.277140769966877,0,22.204281539933756
9,1,0,1,0,22.328249281713738,0,22.30649856342748
10,1,0,1,0,22.19245418385742,0,22.034908367714845
11,1,0,1,0,22.267656159679404,0,22.18531231935881
12,1,0,1,0,22.31339185568993,0,22.27678371137986
13,2,265.734559625749,2,0,21.57326804496633,0,21.57326804496633
14,2,266.60915787535333,2,0,21.35458429957443,0,21.35458429957443
15,2,268.2008290553775,2,0,21.4885760279948,0,21.4885760279948
16,2,270.12618392778614,2,0,21.205926518560677,0,21.205926518560677
17,2,271.9026729272589,2,0,21.29797489067359,0,21.29797489067359
18,2,273.467791544914,2,0,21.04254226417915,0,21.04254226417915
19,2,274.6362276312291,2,0,21.26991566226288,0,21.26991566226288
20,2,276.1787371594412,2,0,21.471380041207244,0,21.471380041207244
21,2,277.9286268005542,2,0,21.11877604634437,0,21.11877604634437
22,2,279.5607470341513,2,0,21.299212554812488,0,21.299212554812488
23,2,280.973129765817,2,0,21.40540395984944,0,21.40540395984944
24,2,282.44380675509757,2,0,20.967422933660504,0,20.967422933660504
25,3,265.0559143048719,3,0,21.60548779736168,0,21.60548779736168
26,3,265.04903163543867,3,0,21.342306894319012,0,21.342306894319012
27,3,264.9526318435216,3,0,21.703508129295773,0,21.703508129295773
28,3,264.96404298614436,3,0,21.575780632799837,0,21.575780632799837
29,3,264.9866268161983,3,0,21.53599492944672,0,21.53599492944672
30,3,264.9796330818332,3,0,21.61093968753598,0,21.61093968753598
31,3,265.14989716461935,3,0,21.577908668735876,0,21.577908668735876
32,3,265.1116182607781,3,0,21.4692701534474,0,21.4692701534474
33,3,265.3309600075714,3,0,21.361914814285814,0,21.361914814285814
34,3,265.109572089697,3,0,21.459877340948555,0,21.459877340948555
35,3,265.10517003848287,3,0,21.359874564873866,0,21.359874564873866
36,3,265.09052797236427,3,0,21.31770464493788,0,21.31770464493788
37,4,264.66736029427335,4,0,21.75610678346586,0,21.75610678346586
38,4,264.90821853322046,4,0,21.714858684897102,0,21.714858684897102
39,4,264.9257910184802,4,0,21.442240619367134,0,21.442240619367134
40,4,264.9521431481822,4,0,21.748464760797958,0,21.59808095099745
41,4,264.75745825301925,4,0,21.769721928503294,0,21.624652410629118
42,4,264.77579018538887,4,0,21.578066486675688,0,21.38508310834461
43,4,264.9127588531824,4,0,21.859539465381694,0,21.736924331727117
44,4,264.725338372065,4,0,21.726346276685526,0,21.570432845856907
45,4,264.7409646440188,4,0,21.81411796810238,0,21.680147460127976
46,4,264.76768770716217,4,0,21.742837935799194,0,21.591047419748996
47,4,264.8598686948658,4,0,21.840897424015147,0,21.713621780018933
48,4,264.8216468711158,4,0,21.692064513507226,0,21.527580641884036
49,5,264.3088983879112,5,0,21.81517780760848,0,21.70821336913018
50,5,264.1926077697114,5,0,21.680239336385487,0,21.546287203662587
51,5,264.1363677624592,5,0,21.751548471215276,0,21.631858165458333
52,5,264.01402772898814,5,0,21.793418141164214,0,21.682101769397057
53,5,263.935363836468,5,0,21.764214089775553,0,21.647056907730665
54,5,208.2355776194882,5,0,21.8114347105533,0,21.62134405605125
55,5,207.79948981714819,5,0,21.863534609386267,0,21.714272652695445
56,5,207.33573103174314,5,0,21.940096847948887,0,21.82804614632719
57,5,223.90420491008825,5,0,21.85199664580921,0,21.61837192968328
58,5,223.41871041169549,5,0,21.98264569499349,0,21.86861016779535
59,5,223.23775276740878,5,0,21.775203742199167,0,21.531548841333507
60,5,223.84346221191353,5,0,21.65844492158165,0,20.82873289317248
61,6,246.1144212070135,5,0,20.83833785347371,0,19.610477923667442
62,6,200.55881673057104,6,0,20.645109569802457,0,18.972756854131966
63,6,203.78848108342063,6,0,20.494494567821103,0,18.270195784488262
