step,num_vehicles,avg_gap_nb,flow_nb,flow_sb,spd_nb,spd_sb,spd_all
1,1,0,1,0,22.351,0,22.352
2,1,0,1,0,22.08139179792977,0,21.81278359585954
3,2,44.0288441539472,2,0,21.59353277904383,0,21.59353277904383
4,2,45.451193830597575,2,0,21.628460013097442,0,21.628460013097442
5,3,44.311438040722635,3,0,21.766379171352714,0,21.766379171352714
6,3,44.551815448098125,3,0,21.435151559660557,0,21.435151559660557
7,4,44.183748011333876,4,0,21.583890830331278,0,21.583890830331278
8,4,44.29712604530715,4,0,21.59834512020918,0,21.59834512020918
9,5,44.26550603434072,5,0,21.743063753669638,0,21.743063753669638
10,5,44.18813094884018,5,0,21.70796053516775,0,21.70796053516775
11,6,44.256448964887305,6,0,21.104586005053577,0,21.104586005053573
12,6,45.03252948917675,6,0,21.06860389661455,0,21.06860389661455
13,7,44.22515199336549,7,0,20.852200397572908,0,20.852200397572908
14,7,44.560346084326305,7,0,20.924956774076907,0,20.924956774076907
15,8,44.19623566005405,8,0,20.653081562830994,0,20.653081562830994
16,8,44.56255601025547,8,0,20.554586211276646,0,20.554586211276646
17,9,44.167685421673276,9,0,20.61513198962448,0,20.61513198962448
18,9,44.38982571757187,9,0,20.719263186272112,0,20.71926318627211
19,10,44.18752051266312,10,0,20.601587034418372,0,20.601587034418372
20,10,44.48327182959854,10,0,20.60492359677814,0,20.60492359677814
21,11,44.109489969352474,11,0,20.591651976732408,0,20.591651976732408
22,11,44.18205515790301,11,0,20.5475637364782,0,20.5475637364782
23,12,44.05037281289639,12,0,20.564765133093676,0,20.564765133093672
24,12,44.04243783388145,12,0,20.515489097391512,0,20.515489097391512
25,13,44.042935254490914,13,0,20.643943289676148,0,20.64394328967615
26,13,44.00480317700046,13,0,20.63655774087891,0,20.63655774087891
27,14,44.04637492190618,14,0,20.78624964579472,0,20.786249645794726
28,14,44.02363979053453,14,0,20.538575867834673,0,20.538575867834677
29,15,44.0429429511527,15,0,20.655360632216265,0,20.655360632216272
30,15,44.05260944137772,15,0,20.702124744131545,0,20.70212474413155
31,16,44.057635815530986,16,0,20.5917825231961,0,20.5917825231961
32,16,44.155271030270995,16,0,20.573744033682235,0,20.573744033682235
33,17,44.038153427032995,17,0,20.445431633978323,0,20.445431633978323
34,17,44.19829284011009,17,0,20.38476601833837,0,20.38476601833837
35,18,44.01214521829595,18,0,20.2750009071889,0,20.275000907188904
36,18,44.108450623093724,18,0,20.24581896713325,0,20.245818967133253
37,19,44.01775295853161,19,0,20.21747900895886,0,20.217479008958865
38,19,44.0822532479572,19,0,20.243823505366354,0,20.243823505366358
39,20,43.99992412738372,20,0,20.218713666813677,0,20.218713666813677
40,20,44.028321019261,20,0,20.29487338002495,0,20.294873380024946
41,21,44.025614610758815,21,0,20.325903975003126,0,20.325903975003126
42,21,44.03492896160375,21,0,20.260449247104,0,20.260449247103995
43,22,44.01538155239332,22,0,20.42016637567444,0,20.420166375674434
44,22,44.01719099065146,22,0,20.379947060727037,0,20.379947060727037
45,23,44.0001357428258,23,0,20.343767141069687,0,20.34376714106969
46,23,44.018352534856646,23,0,20.189794375307503,0,20.189794375307496
47,24,44.01456420780137,24,0,20.15689573959108,0,20.156895739591082
48,24,44.124793575251736,24,0,20.157160544562007,0,20.157160544562007
49,25,44.00943608818696,25,0,20.06561661067214,0,20.065616610672137
50,25,44.18171503929809,25,0,20.01629620851739,0,20.01629620851739
51,26,44.01123266106563,26,0,20.01526786732799,0,20.01526786732799
52,26,44.12899780540399,26,0,20.011577341002138,0,20.011577341002138
53,27,41.13116649415225,26,0,19.879154955926563,0,19.94774831744175
54,27,40.00661631963055,27,0,19.86138595155058,0,19.855121531160037
55,28,39.60827614419721,28,0,19.83823404384784,0,19.8328485355938
56,28,39.601257653069965,28,0,19.979606568173896,0,19.97774132526307
57,29,39.68740228008399,29,0,20.14385884229564,0,20.123790083200795
58,29,39.65238760631221,29,0,20.18536815762233,0,20.181285959747107
59,30,40.11340955551416,29,0,20.119351870459415,0,20.10904196307125
60,30,38.90606957883295,30,0,20.021691147070037,0,19.864833464125905
61,31,39.11752819700453,30,0,19.910618288118886,0,19.634709788839952
