step,num_vehicles,avg_gap_nb,flow_nb,flow_sb,spd_nb,spd_sb,spd_all
1,1,0,1,0,22.351,0,22.352
2,1,0,1,0,22.08139179792977,0,21.81278359585954
3,1,0,1,0,22.283030279043828,0,22.21606055808766
4,1,0,1,0,22.344817425711312,0,22.339634851422627
5,1,0,1,0,22.302198538037715,0,22.25439707607543
6,1,0,1,0,22.31074010284408,0,22.27148020568816
7,1,0,1,0,22.003443873434094,0,21.65688774686819
8,1,0,1,0,22.277140769966877,0,22.204281539933756
9,1,0,1,0,22.328249281713738,0,22.30649856342748
10,1,0,1,0,22.19245418385742,0,22.034908367714845
11,1,0,1,0,22.267656159679404,0,22.18531231935881
12,1,0,1,0,22.31339185568993,0,22.27678371137986
13,2,265.734559625749,2,0,21.57326804496633,0,21.57326804496633
14,2,266.60915787535333,2,0,21.35458429957443,0,21.35458429957443
15,2,268.2008290553775,2,0,21.4885760279948,0,21.4885760279948
16,2,270.12618392778614,2,0,21.205926518560677,0,21.205926518560677
17,2,271.9026729272589,2,0,21.29797489067359,0,21.29797489067359
18,2,273.467791544914,2,0,21.04254226417915,0,21.04254226417915
19,2,274.6362276312291,2,0,21.26991566226288,0,21.26991566226288
20,2,276.1787371594412,2,0,21.471380041207244,0,21.471380041207244
21,2,277.9286268005542,2,0,21.11877604634437,0,21.11877604634437
22,2,279.5607470341513,2,0,21.299212554812488,0,21.299212554812488
23,2,280.973129765817,2,0,21.40540395984944,0,21.40540395984944
24,2,282.44380675509757,2,0,20.967422933660504,0,20.967422933660504
25,3,265.0559143048719,3,0,21.60548779736168,0,21.60548779736168
26,3,265.04903163543867,3,0,21.342306894319012,0,21.342306894319012
27,3,264.9526318435216,3,0,21.703508129295773,0,21.703508129295773
28,3,264.96404298614436,3,0,21.575780632799837,0,21.575780632799837
29,3,264.9866268161983,3,0,21.53599492944672,0,21.53599492944672
30,3,264.9796330818332,3,0,21.61093968753598,0,21.61093968753598
31,3,265.14989716461935,3,0,21.577908668735876,0,21.577908668735876
32,3,265.1116182607781,3,0,21.4692701534474,0,21.4692701534474
33,3,265.3309600075714,3,0,21.361914814285814,0,21.361914814285814
34,3,265.109572089697,3,0,21.459877340948555,0,21.459877340948555
35,3,265.10517003848287,3,0,21.359874564873866,0,21.359874564873866
36,3,265.09052797236427,3,0,21.31770464493788,0,21.31770464493788
37,4,264.66736029427335,4,0,21.75610678346586,0,21.75610678346586
38,4,264.90821853322046,4,0,21.714858684897102,0,21.714858684897102
39,4,264.9257910184802,4,0,21.442240619367134,0,21.442240619367134
40,4,264.9521431481822,4,0,21.748464760797958,0,21.59808095099745
41,5,219.16491810360034,5,0,21.770121928503293,0,21.770121928503293
42,5,219.1017534062714,5,0,21.525554249315917,0,21.525554249315917
43,6,184.15215696579827,6,0,21.869922991701188,0,21.869922991701188
44,6,184.00630042954128,6,0,21.830288563904606,0,21.830288563904602
45,7,160.74778462038162,7,0,21.967512834358843,0,21.967512834358843
46,7,160.66119730530912,7,0,21.91631281128514,0,21.916312811285138
47,8,144.08595840248177,8,0,22.032060890009465,0,22.032060890009465
48,8,143.99251505960117,8,0,21.93879032094202,0,21.938790320942015
49,10,117.47062150573834,10,0,22.004271376046738,0,22.004271376046738
50,10,117.4189367865384,10,0,21.948143601831294,0,21.94814360183129
51,11,109.56251573772397,11,0,22.023753711571967,0,22.023753711571967
52,11,109.51025628226785,11,0,22.04640989518048,0,22.046409895180478
53,11,109.66347768573982,11,0,21.733744997386108,0,21.733744997386108
54,11,83.29423104779528,11,0,21.934113149401302,0,21.906617612802766
55,11,83.11979592685927,11,0,22.05347554137859,0,22.039766974913764
56,11,82.93429241269725,11,0,22.117496139376286,0,22.112748248330536
57,11,89.5616819640353,11,0,21.82666912265735,0,21.773760575952753
58,11,89.36748416467819,11,0,22.06361140001975,0,22.052849241985072
59,11,89.29510110696353,11,0,21.99517774481768,0,21.94671430897989
60,11,89.53738488476542,11,0,21.76919044272141,0,21.45073068087676
61,12,98.4457684828054,11,0,21.801034772984192,0,21.106880064788516
62,12,91.16309851389593,12,0,21.760318989325032,0,20.92414263148979
63,12,92.6343995104286,12,0,21.697684565528334,0,20.585535173861917
