platoon_size,num_platoons,traffic,coordination,num_vehicles,avg_gap_nb,flow_nb,spd_nb
0,0,heavy,False,482.18861111111113,7.156395727903713,477.0411111111111,4.2296691877468175
0,0,light,False,21.6525,110.41545750075505,20.453333333333333,17.977900570418164
2,10,heavy,False,494.97527777777776,6.882232318942276,489.7058333333333,4.10186134129892
2,10,heavy,True,251.0475,10.437467188271727,245.06555555555556,4.617669074280712
2,10,light,False,23.306944444444444,104.57193028954173,22.028333333333332,17.884281851862387
2,10,light,True,23.781111111111112,95.97012291943466,22.244444444444444,17.92337011628807
2,25,heavy,False,474.63722222222225,7.037024187141907,469.18083333333334,4.160749897905521
2,25,heavy,True,263.7247222222222,10.075577507570435,257.3677777777778,4.461725866945878
2,25,light,False,26.4425,95.5234383289421,25.0775,17.393107790327146
2,25,light,True,26.56833333333333,91.38864037165945,24.948888888888888,17.599456915508515
2,40,heavy,False,464.87083333333334,7.094834106717552,459.87944444444446,4.0982301194631505
2,40,heavy,True,261.9480555555556,10.147830931214001,255.3388888888889,4.318152830725878
2,40,light,False,30.341666666666665,87.18457678714124,28.779166666666665,16.835533230774203
2,40,light,True,28.879722222222224,85.20064545269277,27.066111111111113,17.752344649566364
4,10,heavy,False,518.9194444444445,6.42454597388188,513.2466666666667,3.8844528811023133
4,10,heavy,True,249.31805555555556,10.374530420995038,243.45833333333334,4.585074662363415
4,10,light,False,26.475,98.63913833815087,25.20277777777778,17.066099398963495
4,10,light,True,30.16138888888889,87.36463304481823,28.22861111111111,15.477146779465677
4,25,heavy,False,474.46444444444444,6.764114126326214,469.15555555555557,4.023822174942493
4,25,heavy,True,279.57472222222225,9.515871047344374,273.3211111111111,3.97365725132348
4,25,light,False,41.67916666666667,75.12413755669256,40.193888888888885,14.18295992646095
4,25,light,True,39.85888888888889,72.4536044461263,37.771388888888886,15.138545231779743
4,40,heavy,False,476.72333333333336,6.754536885293609,471.99194444444447,4.0357952734769125
4,40,heavy,True,278.5152777777778,9.563775817442469,271.7811111111111,3.874994448877177
4,40,light,False,55.265,59.640604842200894,53.51694444444445,12.516842448108045
4,40,light,True,50.779444444444444,61.03050600856072,48.34722222222222,13.764539611440656
4,50,light,False,65.19361111111111,49.31955266506789,63.339166666666664,11.362917914752337
4,50,light,True,64.68111111111111,48.95299897613581,61.76833333333333,11.661879250744265
6,10,heavy,False,451.71944444444443,6.942970658675543,446.5413888888889,4.153878384703107
6,10,heavy,True,243.1913888888889,10.546353730411562,236.98361111111112,4.449584649667388
6,10,light,False,30.089444444444446,91.10093393668558,28.740555555555556,16.489885614166035
6,10,light,True,31.52861111111111,85.79153981066018,29.666666666666668,15.881442545153337
6,25,heavy,False,459.53027777777777,6.94725159959753,454.4316666666667,4.208987301152222
6,25,heavy,True,254.99555555555557,10.134512643208755,249.03166666666667,4.195389238748473
6,25,light,False,54.63722222222222,65.64153191870133,52.95194444444444,13.217964529997387
6,25,light,True,62.884166666666665,56.89783297336716,59.376666666666665,12.66270671726724
6,40,heavy,False,419.41194444444443,7.189450617249326,414.67333333333335,4.354265647404046
6,40,heavy,True,268.0130555555556,9.762297401471622,262.0127777777778,4.130616426767891
6,40,light,False,99.33555555555556,31.704482349006447,97.40666666666667,8.18818534211608
6,40,light,True,114.22972222222222,27.717749947494045,109.38472222222222,7.814768721647219
