step,num_vehicles,avg_gap_nb,flow_nb,flow_sb,spd_nb,spd_sb,spd_all
1,1,0,1,0,22.351,0,22.352
2,1,0,1,0,22.08139179792977,0,21.81278359585954
3,1,0,1,0,22.283030279043828,0,22.21606055808766
4,1,0,1,0,22.344817425711312,0,22.339634851422627
5,1,0,1,0,22.302198538037715,0,22.25439707607543
6,1,0,1,0,22.31074010284408,0,22.27148020568816
7,1,0,1,0,22.003443873434094,0,21.65688774686819
8,1,0,1,0,22.277140769966877,0,22.204281539933756
9,1,0,1,0,22.328249281713738,0,22.30649856342748
10,1,0,1,0,22.19245418385742,0,22.034908367714845
11,1,0,1,0,22.267656159679404,0,22.18531231935881
12,1,0,1,0,22.31339185568993,0,22.27678371137986
13,2,265.734559625749,2,0,21.57326804496633,0,21.57326804496633
14,2,266.60915787535333,2,0,21.35458429957443,0,21.35458429957443
15,2,268.2008290553775,2,0,21.4885760279948,0,21.4885760279948
16,2,270.12618392778614,2,0,21.205926518560677,0,21.205926518560677
17,2,271.9026729272589,2,0,21.29797489067359,0,21.29797489067359
18,2,273.467791544914,2,0,21.04254226417915,0,21.04254226417915
19,2,274.6362276312291,2,0,21.26991566226288,0,21.26991566226288
20,2,276.1787371594412,2,0,21.471380041207244,0,21.471380041207244
21,2,277.9286268005542,2,0,21.11877604634437,0,21.11877604634437
22,2,279.5607470341513,2,0,21.299212554812488,0,21.299212554812488
23,2,280.973129765817,2,0,21.40540395984944,0,21.40540395984944
24,2,282.44380675509757,2,0,20.967422933660504,0,20.967422933660504
25,3,265.0559143048719,3,0,21.60548779736168,0,21.60548779736168
26,3,265.04903163543867,3,0,21.342306894319012,0,21.342306894319012
27,3,264.9526318435216,3,0,21.703508129295773,0,21.703508129295773
28,3,264.96404298614436,3,0,21.575780632799837,0,21.575780632799837
29,3,264.9866268161983,3,0,21.53599492944672,0,21.53599492944672
30,3,264.9796330818332,3,0,21.61093968753598,0,21.61093968753598
31,3,265.14989716461935,3,0,21.577908668735876,0,21.577908668735876
32,3,265.1116182607781,3,0,21.4692701534474,0,21.4692701534474
33,3,265.3309600075714,3,0,21.361914814285814,0,21.361914814285814
34,3,265.109572089697,3,0,21.459877340948555,0,21.459877340948555
35,3,265.10517003848287,3,0,21.359874564873866,0,21.359874564873866
36,3,265.09052797236427,3,0,21.31770464493788,0,21.31770464493788
37,4,264.66736029427335,4,0,21.75610678346586,0,21.75610678346586
38,4,264.90821853322046,4,0,21.714858684897102,0,21.714858684897102
39,4,264.9257910184802,4,0,21.442240619367134,0,21.442240619367134
40,4,264.9521431481822,4,0,21.748464760797958,0,21.59808095099745
41,5,219.16491810360034,5,0,21.770121928503293,0,21.770121928503293
42,5,219.1017534062714,5,0,21.525554249315917,0,21.525554249315917
43,6,184.15215696579827,6,0,21.869922991701188,0,21.869922991701188
44,6,184.00630042954128,6,0,21.830288563904606,0,21.830288563904602
45,6,183.95734154445796,6,0,21.90343164008532,0,21.903431640085316
46,6,183.85343676637095,6,0,21.844031613166,0,21.844031613165996
47,6,183.84034176347444,6,0,21.925747853345957,0,21.925747853345953
48,6,183.70952108344164,6,0,21.801720427922692,0,21.80172042792269
49,7,176.20593225860748,7,0,21.891580977950127,0,21.891580977950127
50,7,176.109150981859,7,0,21.792423029429226,0,21.792423029429226
51,7,176.1661003958808,7,0,21.824144257788696,0,21.824144257788696
52,7,176.12232061502542,7,0,21.89154391177732,0,21.89154391177732
53,7,146.39643381646977,6,0,21.896696590635244,0,21.89760601036485
54,7,138.66646946903535,7,0,21.946497440355646,0,21.922334675992122
55,7,138.40530397573394,7,0,21.911428843509356,0,21.889886810493206
56,7,138.07813765929728,7,0,21.869558623298452,0,21.862097651655137
57,7,149.13848471479903,7,0,21.86332340425402,0,21.780181402289656
58,7,148.91669019907934,7,0,21.904762184362024,0,21.887850221736105
59,7,148.77983023433958,7,0,21.9940605595437,0,21.901394830465005
60,7,149.30481351816277,7,0,21.81360960182828,0,21.292355557212712
61,8,164.20139830932476,7,0,21.612415777989998,0,20.571992194442974
62,8,143.3606638798026,8,0,21.243146608917222,0,19.971805400443518
63,8,145.6353732551542,8,0,20.995071229132915,0,19.31564671175509
